DONG_CODE,GU,DONG,km_cluster
1156068000,영등포구,신길6동,4
1156069000,영등포구,신길7동,4
1156070000,영등포구,대림1동,4
1156071000,영등포구,대림2동,4
1156072000,영등포구,대림3동,8
1159051000,동작구,노량진1동,4
1159052000,동작구,노량진2동,3
1159053000,동작구,상도1동,4
1159054000,동작구,상도2동,4
1159055000,동작구,상도3동,5
1159056000,동작구,상도4동,4
1159060500,동작구,흑석동,2
1159062000,동작구,사당1동,3
1159063000,동작구,사당2동,9
1159064000,동작구,사당3동,4
1159065000,동작구,사당4동,5
1159065100,동작구,사당5동,3
1159066000,동작구,대방동,3
1159067000,동작구,신대방1동,3
1159068000,동작구,신대방2동,3
1162052500,관악구,보라매동,3
1162054500,관악구,청림동,7
1162056500,관악구,성현동,3
1162057500,관악구,행운동,3
1162058500,관악구,낙성대동,9
1162059500,관악구,청룡동,4
1162060500,관악구,은천동,3
1162061500,관악구,중앙동,7
1162062500,관악구,인헌동,4
1162063000,관악구,남현동,9
1162064500,관악구,서원동,4
1162065500,관악구,신원동,3
1162066500,관악구,서림동,4
1162068500,관악구,신사동,4
1162069500,관악구,신림동,5
1162071500,관악구,난향동,4
1162072500,관악구,조원동,4
1162073500,관악구,대학동,9
1162074500,관악구,삼성동,9
1162076500,관악구,미성동,8
1162077500,관악구,난곡동,4
1165051000,서초구,서초1동,6
1165052000,서초구,서초2동,6
1165053000,서초구,서초3동,3
1165053100,서초구,서초4동,7
1165054000,서초구,잠원동,8
1165055000,서초구,반포본동,3
1165056000,서초구,반포1동,3
1165057000,서초구,반포2동,3
1165058000,서초구,반포3동,3
1165058100,서초구,반포4동,3
1165059000,서초구,방배본동,6
1165060000,서초구,방배1동,6
1165061000,서초구,방배2동,8
1165062000,서초구,방배3동,8
1165062100,서초구,방배4동,3
1165065100,서초구,양재1동,8
1165065200,서초구,양재2동,9
1165066000,서초구,내곡동,9
1168051000,강남구,신사동,6
1168052100,강남구,논현1동,6
1168053100,강남구,논현2동,6
1168054500,강남구,압구정동,2
1168056500,강남구,청담동,6
1168058000,강남구,삼성1동,2
1168059000,강남구,삼성2동,6
1168060000,강남구,대치1동,6
1168061000,강남구,대치2동,2
1168063000,강남구,대치4동,6
1168064000,강남구,역삼1동,6
1168065000,강남구,역삼2동,7
1168065500,강남구,도곡1동,3
1168065600,강남구,도곡2동,3
1168066000,강남구,개포1동,8
1168067000,강남구,개포2동,8
1168069000,강남구,개포4동,8
1168070000,강남구,세곡동,9
1168072000,강남구,일원본동,9
1168073000,강남구,일원1동,2
1168074000,강남구,일원2동,6
1168075000,강남구,수서동,9
1171051000,송파구,풍납1동,8
1171052000,송파구,풍납2동,8
1171053100,송파구,거여1동,4
1171053200,송파구,거여2동,4
1171054000,송파구,마천1동,4
1171055000,송파구,마천2동,8
1171056100,송파구,방이1동,7
