,구이름,행정동,SUBWAY_NUM,STARBUCKS_NUM,SPORT_NUM,SAFE_DLVR_NUM,MC_NUM,KINDER_NUM,KIDS_NUM,GYM_NUM,GOLF_NUM,ACADEMY_NUM,ANIMAL_HSPT_NUM,BIKE_NUM,CAFE,CAR_SHR_NUM,CCTV_NUM,CHILD_MED_NUM,CON_NUM,DPTM_NUM
91,동대문구,휘경제2동,0.75,0.0,0.0,0.5,0.0,10.0,0.25,3.0,1.5,12.25,1.0,3.5,9.25,1.0,25.5,7.25,5.25,0.0
92,동대문구,이문제1동,0.5,0.5,0.0,0.25,0.0,15.0,0.0,1.5,0.25,17.25,1.0,2.25,10.5,1.0,23.5,9.0,4.5,0.0
93,동대문구,이문제2동,0.5,0.5,0.0,0.25,0.0,15.0,0.0,1.5,0.25,17.25,1.0,2.25,10.5,1.0,23.5,9.0,4.5,0.0
94,중랑구,면목제2동,0.08333333333333333,0.027777777777777776,0.0,0.1111111111111111,0.0,3.3333333333333335,0.05555555555555555,0.6666666666666666,0.2222222222222222,4.75,0.6666666666666666,0.6944444444444445,3.4444444444444446,0.4444444444444444,15.666666666666666,1.222222222222222,2.4166666666666665,0.0
95,중랑구,면목제4동,0.08333333333333333,0.027777777777777776,0.0,0.1111111111111111,0.0,3.3333333333333335,0.05555555555555555,0.6666666666666666,0.2222222222222222,4.75,0.6666666666666666,0.6944444444444445,3.4444444444444446,0.4444444444444444,15.666666666666666,1.222222222222222,2.4166666666666665,0.0
96,중랑구,면목제5동,0.08333333333333333,0.027777777777777776,0.0,0.1111111111111111,0.0,3.3333333333333335,0.05555555555555555,0.6666666666666666,0.2222222222222222,4.75,0.6666666666666666,0.6944444444444445,3.4444444444444446,0.4444444444444444,15.666666666666666,1.222222222222222,2.4166666666666665,0.0
97,중랑구,면목본동,0.08333333333333333,0.027777777777777776,0.0,0.1111111111111111,0.0,3.3333333333333335,0.05555555555555555,0.6666666666666666,0.2222222222222222,4.75,0.6666666666666666,0.6944444444444445,3.4444444444444446,0.4444444444444444,15.666666666666666,1.222222222222222,2.4166666666666665,0.0
98,중랑구,면목제7동,0.08333333333333333,0.027777777777777776,0.0,0.1111111111111111,0.0,3.3333333333333335,0.05555555555555555,0.6666666666666666,0.2222222222222222,4.75,0.6666666666666666,0.6944444444444445,3.4444444444444446,0.4444444444444444,15.666666666666666,1.222222222222222,2.4166666666666665,0.0
99,중랑구,면목제3.8동,0.08333333333333333,0.027777777777777776,0.0,0.1111111111111111,0.0,3.3333333333333335,0.05555555555555555,0.6666666666666666,0.2222222222222222,4.75,0.6666666666666666,0.6944444444444445,3.4444444444444446,0.4444444444444444,15.666666666666666,1.222222222222222,2.4166666666666665,0.0
100,중랑구,상봉제1동,1.25,0.75,0.0,0.25,0.25,12.5,0.75,4.0,0.75,11.5,1.5,4.25,15.25,2.25,28.75,7.0,8.0,0.0
101,중랑구,상봉제2동,1.25,0.75,0.0,0.25,0.25,12.5,0.75,4.0,0.75,11.5,1.5,4.25,15.25,2.25,28.75,7.0,8.0,0.0
102,중랑구,중화제1동,0.75,0.25,0.0,0.25,0.0,5.0,0.25,1.75,0.75,11.5,2.5,2.25,10.25,1.25,36.5,5.75,8.0,0.0
103,중랑구,중화제2동,0.75,0.25,0.0,0.25,0.0,5.0,0.25,1.75,0.75,11.5,2.5,2.25,10.25,1.25,36.5,5.75,8.0,0.0
104,중랑구,묵제1동,0.25,0.25,0.0,0.0,0.0,17.5,0.5,1.75,1.0,16.5,1.5,2.25,10.25,1.75,30.25,4.0,5.75,0.0
105,중랑구,묵제2동,0.25,0.25,0.0,0.0,0.0,17.5,0.5,1.75,1.0,16.5,1.5,2.25,10.25,1.75,30.25,4.0,5.75,0.0
106,중랑구,망우본동,0.25,0.25,0.0,0.0,0.25,17.5,0.25,2.0,0.75,16.25,1.0,3.25,17.0,1.5,38.25,7.5,8.75,0.0
107,중랑구,망우제3동,0.25,0.25,0.0,0.0,0.25,17.5,0.25,2.0,0.75,16.25,1.0,3.25,17.0,1.5,38.25,7.5,8.75,0.0
108,중랑구,신내1동,0.25,0.25,0.0,0.0,0.25,32.5,0.5,2.25,1.5,41.25,2.5,4.25,11.75,1.0,22.0,10.25,5.5,0.0
109,중랑구,신내2동,0.25,0.25,0.0,0.0,0.25,32.5,0.5,2.25,1.5,41.25,2.5,4.25,11.75,1.0,22.0,10.25,5.5,0.0
110,성북구,성북동,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,49.0,4.0,13.0,43.0,1.0,138.0,3.0,10.0,0.0
111,성북구,삼선동,0.0,1.0277777777777777,0.0,0.0,0.0,10.555555555555555,0.027777777777777776,6.083333333333334,1.1388888888888888,74.55555555555556,4.055555555555555,5.138888888888889,46.361111111111114,7.111111111111111,110.44444444444444,17.083333333333336,13.083333333333332,0.0
112,성북구,동선동,0.0,2.0277777777777777,0.0,0.0,0.0,0.5555555555555556,2.0277777777777777,11.083333333333334,1.1388888888888888,90.55555555555556,6.055555555555555,6.138888888888889,69.36111111111111,5.111111111111111,89.44444444444444,7.083333333333333,11.083333333333334,0.0
113,성북구,돈암제1동,0.0,0.027777777777777776,0.0,0.0,0.0,0.5555555555555556,0.027777777777777776,0.08333333333333333,0.1388888888888889,2.555555555555556,0.05555555555555555,0.1388888888888889,0.3611111111111111,0.1111111111111111,1.4444444444444444,0.08333333333333333,0.08333333333333333,0.0
114,성북구,돈암제2동,0.0,0.027777777777777776,0.0,0.0,0.0,0.5555555555555556,0.027777777777777776,0.08333333333333333,0.1388888888888889,2.555555555555556,0.05555555555555555,0.1388888888888889,0.3611111111111111,0.1111111111111111,1.4444444444444444,0.08333333333333333,0.08333333333333333,0.0
