"VEGAN_CODE","VEGAN_NAME","STD_DAY","CATE_CODE","GU","DONG","GU_CODE","DONG_CODE","ADD_STR","LAT","LON","SI_DO_CODE","SI_DO"
4948,"꽃갈피","2022-11-02","H113","동대문구","휘경동",11060,1123010900,"서울특별시 동대문구 망우로18가길 36",37.5886703,127.060797,11,"서울특별시"
4709,"건강한빵","2022-11-02","H113","종로구","명륜3가",11010,1111017300,"서울특별시 종로구 성균관로1길 6-6",37.5835671,126.9979439,11,"서울특별시"
4710,"도스타코스 (성균관대)","2022-11-02","H113","종로구","명륜3가",11010,1111017300,"서울특별시 종로구 창경궁로29길 5",37.5832276,126.9982768,11,"서울특별시"
4156,"초우마을","2022-11-02","H113","동대문구","휘경동",11060,1123010900,"서울특별시 동대문구 회기로28길  8 2층",37.5894606,127.0559521,11,"서울특별시"
4157,"강창구찹쌀진순대회기점","2022-11-02","H113","동대문구","휘경동",11060,1123010900,"서울특별시 동대문구 이문로 54",37.5920864,127.0575608,11,"서울특별시"
4158,"성미식당","2022-11-02","H113","동대문구","휘경동",11060,1123010900,"서울특별시 동대문구 외대역동로 80",37.5953177,127.0650505,11,"서울특별시"
4159,"전주한우곰탕","2022-11-02","H113","동대문구","휘경동",11060,1123010900,"서울특별시 동대문구 이문로 34-1",37.590528,127.0564821,11,"서울특별시"
4812,"본 죽&비빔밥 충무로역점","2022-11-02","H113","중구","충무로5가",11020,1114013300,"서울특별시 중구 서애로1길 11 (충무로5가) 충무로헤센스마트아파트상가 1층 B125호",37.5613441,126.9985925,11,"서울특별시"
4813,"샐러디 (충무로역점)","2022-11-02","H113","중구","충무로5가",11020,1114013300,"서울특별시 중구 서애로1길 11, 118호(충무로5가, 충무로 헤센 스마트)",37.5613441,126.9985925,11,"서울특별시"
5175,"콩물에빠진두부","2022-11-02","H113","성동구","옥수동",11040,1120011300,"서울특별시 성동구 한림말1길 8",37.5420055,127.0165492,11,"서울특별시"
5176,"본 죽&비빔밥 옥수점","2022-11-02","H113","성동구","옥수동",11040,1120011300,"서울특별시 성동구 한림말3길 15 (옥수동, 국민약국) 1층",37.5424489,127.0156947,11,"서울특별시"
