,GU,DONG,DONG_CODE,cnt
403,송파구,잠실3동,1171068000,0.0
404,송파구,잠실4동,1171069000,0.0
405,송파구,잠실6동,1171071000,0.0
406,송파구,잠실7동,1171072000,0.0
407,강동구,강일동,1174051500,0.0
408,강동구,상일1동,1174052500,0.0
409,강동구,상일2동,1174052600,0.0
410,강동구,명일1동,1174053000,0.0
411,강동구,명일2동,1174054000,0.0
412,강동구,고덕1동,1174055000,0.0
413,강동구,고덕2동,1174056000,0.0
414,강동구,암사1동,1174057000,0.0
415,강동구,암사2동,1174058000,0.0
416,강동구,암사3동,1174059000,0.0
417,강동구,천호1동,1174060000,0.0
418,강동구,천호2동,1174061000,0.0
419,강동구,천호3동,1174062000,0.0
420,강동구,성내1동,1174064000,0.0
421,강동구,성내2동,1174065000,0.0
422,강동구,성내3동,1174066000,0.0
423,강동구,길동,1174068500,0.0
424,강동구,둔촌1동,1174069000,0.0
425,강동구,둔촌2동,1174070000,0.0
